epoch,learning_rate,loss,val_loss
0,9.999999747378752e-06,-24.169160842895508,-61.82894515991211
1,9.999999747378752e-06,-49.451934814453125,-180.69369506835938
2,9.999999747378752e-06,-78.05538177490234,-244.37059020996094
3,9.999999747378752e-06,-102.27288055419922,-292.43115234375
4,9.999999747378752e-06,-127.14796447753906,-333.94317626953125
5,9.999999747378752e-06,-151.057861328125,-373.5699462890625
6,9.999999747378752e-06,-177.18003845214844,-416.2420349121094
7,9.999999747378752e-06,-203.71762084960938,-463.511474609375
8,9.999999747378752e-06,-232.01979064941406,-506.7201843261719
9,9.999999747378752e-06,-257.4900207519531,-559.388427734375
10,9.999999747378752e-06,-285.1399230957031,-615.885498046875
11,9.999999747378752e-06,-324.86639404296875,-674.794921875
12,9.999999747378752e-06,-356.7413330078125,-743.5825805664062
13,9.999999747378752e-06,-393.39581298828125,-822.588623046875
14,9.999999747378752e-06,-433.609619140625,-902.761962890625
15,9.999999747378752e-06,-477.69683837890625,-1000.3923950195312
16,9.999999747378752e-06,-522.6817016601562,-1115.783203125
17,9.999999747378752e-06,-576.3508911132812,-1248.7149658203125
18,9.999999747378752e-06,-632.306884765625,-1396.028076171875
19,9.999999747378752e-06,-691.389404296875,-1568.08837890625
20,9.999999747378752e-06,-762.199462890625,-1753.4832763671875
21,9.999999747378752e-06,-830.58837890625,-1964.6513671875
22,9.999999747378752e-06,-902.203369140625,-2210.569091796875
23,9.999999747378752e-06,-977.2473754882812,-2492.904052734375
24,9.999999747378752e-06,-1056.65380859375,-2790.7197265625
25,9.999999747378752e-06,-1137.3570556640625,-3142.755126953125
26,9.999999747378752e-06,-1225.0189208984375,-3525.13720703125
27,9.999999747378752e-06,-1306.5626220703125,-3859.445068359375
28,9.999999747378752e-06,-1391.3367919921875,-4259.2177734375
29,9.999999747378752e-06,-1480.3326416015625,-4665.13525390625
30,9.999999747378752e-06,-1553.640869140625,-5035.66748046875
31,9.999999747378752e-06,-1635.754150390625,-5404.25732421875
32,9.999999747378752e-06,-1704.2529296875,-5789.373046875
33,9.999999747378752e-06,-1779.476318359375,-6121.15869140625
34,9.999999747378752e-06,-1847.021484375,-6385.2890625
35,9.999999747378752e-06,-1911.1131591796875,-6678.56591796875
36,9.999999747378752e-06,-1972.3419189453125,-6972.69580078125
37,9.999999747378752e-06,-2038.0770263671875,-7214.255859375
38,9.999999747378752e-06,-2094.6591796875,-7445.91845703125
39,9.999999747378752e-06,-2148.196044921875,-7631.9697265625
40,9.999999747378752e-06,-2197.485107421875,-7800.35888671875
41,9.999999747378752e-06,-2241.877685546875,-8006.8037109375
42,9.999999747378752e-06,-2294.18505859375,-8177.3837890625
43,9.999999747378752e-06,-2338.100341796875,-8316.666015625
44,9.999999747378752e-06,-2388.26416015625,-8456.5830078125
45,9.999999747378752e-06,-2433.4970703125,-8545.501953125
46,9.999999747378752e-06,-2471.8701171875,-8694.609375
47,9.999999747378752e-06,-2508.587890625,-8783.3291015625
48,9.999999747378752e-06,-2552.799072265625,-8868.931640625
49,9.999999747378752e-06,-2591.458984375,-9017.30859375
50,9.999999747378752e-06,-2630.20263671875,-9136.435546875
51,9.999999747378752e-06,-2664.82080078125,-9196.3818359375
52,9.999999747378752e-06,-2700.47607421875,-9342.474609375
53,9.999999747378752e-06,-2734.005859375,-9366.232421875
54,9.999999747378752e-06,-2772.31103515625,-9453.072265625
55,9.999999747378752e-06,-2802.59765625,-9568.126953125
56,9.999999747378752e-06,-2838.550537109375,-9708.599609375
57,9.999999747378752e-06,-2872.240478515625,-9784.779296875
58,9.999999747378752e-06,-2905.9189453125,-9796.458984375
59,9.999999747378752e-06,-2935.377685546875,-9895.908203125
60,9.999999747378752e-06,-2967.979736328125,-9945.623046875
61,9.999999747378752e-06,-2997.541015625,-9997.533203125
62,9.999999747378752e-06,-3025.07666015625,-10061.5185546875
63,9.999999747378752e-06,-3060.661865234375,-10111.0791015625
64,9.999999747378752e-06,-3081.77001953125,-10212.669921875
65,9.999999747378752e-06,-3110.15869140625,-10248.43359375
66,9.999999747378752e-06,-3142.60693359375,-10343.16796875
67,9.999999747378752e-06,-3171.822509765625,-10372.845703125
68,9.999999747378752e-06,-3203.349365234375,-10454.255859375
69,9.999999747378752e-06,-3222.638916015625,-10408.923828125
